date_COVID,state,positive,negative,pending,hospitalized,death,total,Most_Recent_Date,Data_asof
2020-05-14,MA,82182,342179,,8207,5482,424361,Old_Data,2020-05-18
2020-05-14,MD,35903,142551,,6553,1866,178454,Old_Data,2020-05-18
2020-05-14,ME,1565,22092,,207,69,23657,Old_Data,2020-05-18
2020-05-14,MI,49582,286301,,,4787,335883,Old_Data,2020-05-18
2020-05-14,MN,13435,115317,,1915,663,128752,Old_Data,2020-05-18
2020-05-14,MO,10317,116793,,,562,127110,Old_Data,2020-05-18
2020-05-14,MP,19,3306,,,2,3325,Old_Data,2020-05-18
2020-05-14,MS,10483,94843,,1667,480,105326,Old_Data,2020-05-18
2020-05-14,MT,462,24087,,63,16,24549,Old_Data,2020-05-18
2020-05-14,NC,16507,202761,,,615,219268,Old_Data,2020-05-18
2020-05-14,ND,1647,48599,,129,40,50246,Old_Data,2020-05-18
2020-05-14,NE,9075,44266,,,107,53341,Old_Data,2020-05-18
2020-05-14,NH,3299,35876,735,326,150,39910,Old_Data,2020-05-18
2020-05-14,NJ,142704,308992,,,9946,451696,Old_Data,2020-05-18
2020-05-14,NM,5364,109647,,886,231,115011,Old_Data,2020-05-18
2020-05-14,NV,6499,62985,,,331,69484,Old_Data,2020-05-18
2020-05-14,NY,343051,955706,,74433,22170,1298757,Old_Data,2020-05-18
2020-05-14,OH,26357,206995,,4718,1534,233352,Old_Data,2020-05-18
2020-05-14,OK,4962,107221,,858,284,112183,Old_Data,2020-05-18
2020-05-14,OR,3479,80571,,685,137,84050,Old_Data,2020-05-18
2020-05-14,PA,59636,251559,,,4218,311195,Old_Data,2020-05-18
2020-05-14,PR,2427,,,,117,2427,Old_Data,2020-05-18
2020-05-14,RI,12016,89585,,1351,468,101601,Old_Data,2020-05-18
2020-05-14,SC,8189,94346,,1338,371,102535,Old_Data,2020-05-18
2020-05-14,SD,3792,22681,,290,43,26473,Old_Data,2020-05-18
2020-05-14,TN,16699,285618,,1435,287,302317,Old_Data,2020-05-18
2020-05-14,TX,43851,579433,,,1216,623284,Old_Data,2020-05-18
2020-05-14,UT,6749,153370,,558,75,160119,Old_Data,2020-05-18
2020-05-14,VA,27813,139017,496,5211,955,167326,Old_Data,2020-05-18
2020-05-14,VI,69,1164,45,,6,1278,Old_Data,2020-05-18
2020-05-14,VT,932,21573,,,53,22505,Old_Data,2020-05-18
2020-05-14,WA,18425,264597,,,975,283022,Old_Data,2020-05-18
2020-05-14,WI,11275,122598,169,1939,434,134042,Old_Data,2020-05-18
2020-05-14,WV,1427,67286,,,60,68713,Old_Data,2020-05-18
2020-05-14,WY,701,14729,,67,7,15430,Old_Data,2020-05-18
2020-05-13,AK,383,30266,,,10,30649,Old_Data,2020-05-18
2020-05-13,AL,10617,125755,,1317,449,136372,Old_Data,2020-05-18
2020-05-13,AR,4164,69051,,497,95,73215,Old_Data,2020-05-18
2020-05-13,AS,0,105,,,0,105,Old_Data,2020-05-18
2020-05-13,AZ,12176,115574,,1590,594,127750,Old_Data,2020-05-18
2020-05-13,CA,71141,994451,,,2934,1065592,Old_Data,2020-05-18
2020-05-13,CO,20157,91093,,3695,1009,111250,Old_Data,2020-05-18
2020-05-13,CT,34855,108088,,9389,3125,142943,Old_Data,2020-05-18
2020-05-13,DC,6584,25074,,,350,31658,Old_Data,2020-05-18
2020-05-13,DE,6952,27801,,,247,34753,Old_Data,2020-05-18
2020-05-13,FL,42402,552361,1191,7835,1898,595954,Old_Data,2020-05-18
2020-05-13,GA,35332,238572,,6259,1505,273904,Old_Data,2020-05-18
2020-05-13,GU,152,4110,,,5,4262,Old_Data,2020-05-18
2020-05-13,HI,635,37730,,81,17,38365,Old_Data,2020-05-18
2020-05-13,IA,13289,72430,,,306,85719,Old_Data,2020-05-18
2020-05-13,ID,2293,30835,,214,69,33128,Old_Data,2020-05-18
2020-05-13,IL,84698,404661,,,3792,489359,Old_Data,2020-05-18
2020-05-13,IN,25473,128610,,4389,1619,154083,Old_Data,2020-05-18
2020-05-13,KS,7468,50160,,704,164,57628,Old_Data,2020-05-18
2020-05-13,KY,6853,103781,,1825,321,110634,Old_Data,2020-05-18
2020-05-13,LA,32662,205242,,,2381,237904,Old_Data,2020-05-18
2020-05-13,MA,80497,329535,,8032,5315,410032,Old_Data,2020-05-18
2020-05-13,MD,34812,138762,,6404,1809,173574,Old_Data,2020-05-18
2020-05-13,ME,1515,22092,,204,66,23607,Old_Data,2020-05-18
2020-05-13,MI,48391,259869,,,4714,308260,Old_Data,2020-05-18
2020-05-13,MN,12917,109118,,1851,638,122035,Old_Data,2020-05-18
2020-05-13,MO,10142,114000,,,542,124142,Old_Data,2020-05-18
2020-05-13,MP,19,3021,,,2,3040,Old_Data,2020-05-18
2020-05-13,MS,10090,89958,,1616,465,100048,Old_Data,2020-05-18
2020-05-13,MT,462,23390,,63,16,23852,Old_Data,2020-05-18
2020-05-13,NC,15816,194641,,,597,210457,Old_Data,2020-05-18
2020-05-13,ND,1647,47298,,127,40,48945,Old_Data,2020-05-18
2020-05-13,NE,8692,41033,,,103,49725,Old_Data,2020-05-18
2020-05-13,NH,3239,33977,51,319,142,37267,Old_Data,2020-05-18
2020-05-13,NJ,141560,299890,,,9702,441450,Old_Data,2020-05-18
2020-05-13,NM,5212,105077,,886,219,110289,Old_Data,2020-05-18
2020-05-13,NV,6394,60278,,,321,66672,Old_Data,2020-05-18
2020-05-13,NY,340661,918246,,73963,22013,1258907,Old_Data,2020-05-18
2020-05-13,OH,25721,200133,,4618,1483,225854,Old_Data,2020-05-18
2020-05-13,OK,4852,104275,,848,278,109127,Old_Data,2020-05-18
2020-05-13,OR,3416,80571,,678,134,83987,Old_Data,2020-05-18
2020-05-13,PA,58698,244171,,,3943,302869,Old_Data,2020-05-18
2020-05-13,PR,2329,,,,115,2329,Old_Data,2020-05-18
2020-05-13,RI,11835,86087,,1328,462,97922,Old_Data,2020-05-18
2020-05-13,SC,7927,85213,,1338,355,93140,Old_Data,2020-05-18
2020-05-13,SD,3732,22112,,281,39,25844,Old_Data,2020-05-18
2020-05-13,TN,16370,276547,,1388,273,292917,Old_Data,2020-05-18
2020-05-13,TX,42403,545028,,,1158,587431,Old_Data,2020-05-18
2020-05-13,UT,6620,150166,,553,75,156786,Old_Data,2020-05-18
2020-05-13,VA,26746,134646,485,5080,927,161877,Old_Data,2020-05-18
2020-05-13,VI,69,1128,62,,6,1259,Old_Data,2020-05-18
2020-05-13,VT,929,20747,,,53,21676,Old_Data,2020-05-18
2020-05-13,WA,18200,259677,,,962,277877,Old_Data,2020-05-18
2020-05-13,WI,10902,117111,194,1908,421,128207,Old_Data,2020-05-18
2020-05-13,WV,1398,65282,,,58,66680,Old_Data,2020-05-18
2020-05-13,WY,675,14384,,67,7,15059,Old_Data,2020-05-18
2020-05-12,AK,383,29578,,,10,29961,Old_Data,2020-05-18
2020-05-12,AL,10310,122908,,1287,429,133218,Old_Data,2020-05-18
2020-05-12,AR,4164,66280,,485,95,70444,Old_Data,2020-05-18
2020-05-12,AS,0,105,,,0,105,Old_Data,2020-05-18
2020-05-12,AZ,11736,111106,,1564,562,122842,Old_Data,2020-05-18
2020-05-12,CA,69382,963988,,,2847,1033370,Old_Data,2020-05-18
2020-05-12,CO,19879,88778,,3663,987,108657,Old_Data,2020-05-18
2020-05-12,CT,34333,104091,,9389,3041,138424,Old_Data,2020-05-18
2020-05-12,DC,6485,24565,,,336,31050,Old_Data,2020-05-18
2020-05-12,DE,6741,26550,,,237,33291,Old_Data,2020-05-18
2020-05-12,FL,41923,537681,1064,7654,1849,580668,Old_Data,2020-05-18
2020-05-12,GA,34635,227544,,6130,1461,262179,Old_Data,2020-05-18
2020-05-12,GU,152,3939,,,5,4091,Old_Data,2020-05-18
2020-05-12,HI,634,37305,,81,17,37939,Old_Data,2020-05-18
2020-05-12,IA,12912,68376,,,289,81288,Old_Data,2020-05-18
2020-05-12,ID,2260,30445,,210,70,32705,Old_Data,2020-05-18
2020-05-12,IL,83021,388670,,,3601,471691,Old_Data,2020-05-18
2020-05-12,IN,25127,125383,,4389,1578,150510,Old_Data,2020-05-18
2020-05-12,KS,7116,46993,,660,158,54109,Old_Data,2020-05-18
2020-05-12,KY,6677,97347,,1767,311,104024,Old_Data,2020-05-18
2020-05-12,LA,32050,195962,,,2347,228012,Old_Data,2020-05-18
2020-05-12,MA,79332,322164,,7842,5141,401496,Old_Data,2020-05-18
2020-05-12,MD,34061,135442,,6287,1756,169503,Old_Data,2020-05-18
2020-05-12,ME,1477,22092,,202,65,23569,Old_Data,2020-05-18
2020-05-12,MI,48021,259869,,,4674,307890,Old_Data,2020-05-18
2020-05-12,MN,12494,108340,,1799,614,120834,Old_Data,2020-05-18
2020-05-12,MO,10006,111290,,,524,121296,Old_Data,2020-05-18
2020-05-12,MP,19,2854,,,2,2873,Old_Data,2020-05-18
2020-05-12,MS,9908,87784,,1582,457,97692,Old_Data,2020-05-18
2020-05-12,MT,461,22574,,63,16,23035,Old_Data,2020-05-18
2020-05-12,NC,15346,186898,,,577,202244,Old_Data,2020-05-18
